,Compound,Data,negative,neutral,positive,tweets_ago
73,0.1531,Fri Dec 01 22:30:03 +0000 2017,0.0,0.909,0.091,74
74,0.6249,Fri Dec 01 22:27:07 +0000 2017,0.0,0.679,0.321,75
75,0.0,Fri Dec 01 22:20:03 +0000 2017,0.0,1.0,0.0,76
76,-0.6124,Fri Dec 01 22:14:49 +0000 2017,0.333,0.556,0.111,77
77,-0.836,Fri Dec 01 22:14:36 +0000 2017,0.597,0.403,0.0,78
78,-0.6249,Fri Dec 01 22:05:39 +0000 2017,0.316,0.605,0.079,79
79,0.1531,Fri Dec 01 21:58:54 +0000 2017,0.145,0.685,0.169,80
80,-0.5719,Fri Dec 01 21:52:44 +0000 2017,0.247,0.646,0.106,81
81,-0.6597,Fri Dec 01 21:48:40 +0000 2017,0.188,0.812,0.0,82
82,-0.6124,Fri Dec 01 21:41:44 +0000 2017,0.316,0.579,0.105,83
83,-0.4404,Fri Dec 01 21:40:47 +0000 2017,0.152,0.779,0.069,84
84,-0.5423,Fri Dec 01 21:39:00 +0000 2017,0.241,0.759,0.0,85
85,0.0,Fri Dec 01 21:27:44 +0000 2017,0.0,1.0,0.0,86
86,-0.8519,Fri Dec 01 21:13:14 +0000 2017,0.571,0.429,0.0,87
87,0.0,Fri Dec 01 21:05:30 +0000 2017,0.0,1.0,0.0,88
88,-0.1697,Fri Dec 01 21:03:44 +0000 2017,0.228,0.587,0.185,89
89,-0.6249,Fri Dec 01 20:50:45 +0000 2017,0.305,0.591,0.103,90
90,-0.3818,Fri Dec 01 20:47:44 +0000 2017,0.157,0.843,0.0,91
91,0.0,Fri Dec 01 20:26:54 +0000 2017,0.0,1.0,0.0,92
92,-0.836,Fri Dec 01 19:55:21 +0000 2017,0.597,0.403,0.0,93
93,0.5248,Fri Dec 01 19:35:03 +0000 2017,0.057,0.752,0.191,94
94,-0.4215,Fri Dec 01 19:29:05 +0000 2017,0.237,0.763,0.0,95
95,-0.4588,Fri Dec 01 19:24:59 +0000 2017,0.283,0.565,0.152,96
96,0.0,Fri Dec 01 19:21:17 +0000 2017,0.0,1.0,0.0,97
97,0.0,Fri Dec 01 19:19:06 +0000 2017,0.0,1.0,0.0,98
98,-0.5875,Fri Dec 01 19:18:22 +0000 2017,0.286,0.605,0.109,99
99,0.0,Fri Dec 01 19:14:52 +0000 2017,0.0,1.0,0.0,100
