,Compound,Data,negative,neutral,positive,tweets_ago
74,-0.3182,Fri Dec 01 18:00:15 +0000 2017,0.108,0.892,0.0,75
75,-0.8555,Fri Dec 01 17:50:04 +0000 2017,0.344,0.656,0.0,76
76,-0.4019,Fri Dec 01 17:40:14 +0000 2017,0.153,0.766,0.081,77
77,-0.3818,Fri Dec 01 17:30:34 +0000 2017,0.176,0.739,0.085,78
78,0.4019,Fri Dec 01 17:16:10 +0000 2017,0.0,0.863,0.137,79
79,-0.7351,Fri Dec 01 17:06:37 +0000 2017,0.256,0.744,0.0,80
80,0.0,Fri Dec 01 17:03:30 +0000 2017,0.0,1.0,0.0,81
81,-0.5267,Fri Dec 01 16:45:12 +0000 2017,0.207,0.793,0.0,82
82,-0.7351,Fri Dec 01 16:30:13 +0000 2017,0.279,0.721,0.0,83
83,0.34,Fri Dec 01 16:15:02 +0000 2017,0.089,0.72,0.191,84
84,0.0,Fri Dec 01 16:00:17 +0000 2017,0.0,1.0,0.0,85
85,0.0,Fri Dec 01 15:45:14 +0000 2017,0.0,1.0,0.0,86
86,0.3818,Fri Dec 01 15:31:08 +0000 2017,0.0,0.867,0.133,87
87,0.4767,Fri Dec 01 15:15:12 +0000 2017,0.0,0.846,0.154,88
88,-0.2732,Fri Dec 01 15:11:38 +0000 2017,0.1,0.9,0.0,89
89,-0.2732,Fri Dec 01 15:10:37 +0000 2017,0.259,0.741,0.0,90
90,0.0,Fri Dec 01 15:00:49 +0000 2017,0.0,1.0,0.0,91
91,0.0,Fri Dec 01 14:51:04 +0000 2017,0.0,1.0,0.0,92
92,-0.7906,Fri Dec 01 14:49:31 +0000 2017,0.296,0.704,0.0,93
93,-0.93,Fri Dec 01 14:40:03 +0000 2017,0.479,0.521,0.0,94
94,0.4019,Fri Dec 01 14:33:19 +0000 2017,0.0,0.847,0.153,95
95,0.4588,Fri Dec 01 14:31:06 +0000 2017,0.0,0.571,0.429,96
96,-0.5859,Fri Dec 01 14:23:37 +0000 2017,0.263,0.636,0.102,97
97,-0.128,Fri Dec 01 14:21:03 +0000 2017,0.263,0.511,0.226,98
98,0.2023,Fri Dec 01 14:11:04 +0000 2017,0.0,0.904,0.096,99
99,-0.9169,Fri Dec 01 14:00:27 +0000 2017,0.518,0.482,0.0,100
