,Compound,Data,negative,neutral,positive,tweets_ago
74,-0.3818,Fri Dec 01 13:34:27 +0000 2017,0.286,0.714,0.0,75
75,-0.5411,Fri Dec 01 13:22:19 +0000 2017,0.249,0.643,0.108,76
76,0.0,Fri Dec 01 13:08:02 +0000 2017,0.0,1.0,0.0,77
77,0.0,Fri Dec 01 13:00:57 +0000 2017,0.0,1.0,0.0,78
78,0.0,Fri Dec 01 12:57:56 +0000 2017,0.0,1.0,0.0,79
79,-0.765,Fri Dec 01 12:33:03 +0000 2017,0.394,0.512,0.094,80
80,-0.3612,Fri Dec 01 12:11:37 +0000 2017,0.238,0.762,0.0,81
81,-0.8176,Fri Dec 01 12:11:37 +0000 2017,0.484,0.516,0.0,82
82,0.0,Fri Dec 01 11:54:14 +0000 2017,0.0,1.0,0.0,83
83,0.0,Fri Dec 01 11:18:28 +0000 2017,0.0,1.0,0.0,84
84,0.4588,Fri Dec 01 11:15:26 +0000 2017,0.0,0.85,0.15,85
85,0.0,Fri Dec 01 11:08:40 +0000 2017,0.0,1.0,0.0,86
86,0.0,Fri Dec 01 11:08:34 +0000 2017,0.0,1.0,0.0,87
87,0.0,Fri Dec 01 11:08:27 +0000 2017,0.0,1.0,0.0,88
88,0.0,Fri Dec 01 11:08:16 +0000 2017,0.0,1.0,0.0,89
89,-0.2732,Fri Dec 01 10:55:56 +0000 2017,0.122,0.798,0.08,90
90,-0.2724,Fri Dec 01 10:45:46 +0000 2017,0.095,0.905,0.0,91
91,-0.34,Fri Dec 01 10:31:35 +0000 2017,0.211,0.789,0.0,92
92,-0.024,Fri Dec 01 10:24:42 +0000 2017,0.096,0.811,0.093,93
93,0.3612,Fri Dec 01 10:11:45 +0000 2017,0.0,0.898,0.102,94
94,0.0,Fri Dec 01 10:11:23 +0000 2017,0.0,1.0,0.0,95
95,0.4847,Fri Dec 01 10:09:10 +0000 2017,0.0,0.88,0.12,96
96,0.0,Fri Dec 01 10:00:33 +0000 2017,0.0,1.0,0.0,97
97,0.0,Fri Dec 01 09:48:49 +0000 2017,0.0,1.0,0.0,98
98,-0.7351,Fri Dec 01 09:12:09 +0000 2017,0.408,0.592,0.0,99
99,-0.7845,Fri Dec 01 08:30:10 +0000 2017,0.294,0.706,0.0,100
